flowId,label,domain,owner_surface,visible_surfaces,route_screen_component,source_file,reachable,duplicate,contradiction,hidden_compat,should_be_visible,should_be_on_demand,current_on_demand_status,notes
captain_wlt_dsh_finance_bridge_view,captain_wlt_dsh_finance_bridge_view,finance,app-captain,app-captain,dsh/frontend/app-captain/dsh-captain.screen-registry.ts,dsh/frontend/app-captain/dsh-captain.screen-registry.ts,TBD,no,TBD,no,TBD,yes,TBD,1 refs across 1 files
cash-on-delivery,cash on delivery,order/delivery,wlt-finance,wlt-finance,wlt/frontend/app-partner/dsh/wlt-dsh-partner.adapter.ts | wlt/frontend/shared/finance/dshFinancePreview.ts,wlt/frontend/app-partner/dsh/wlt-dsh-partner.adapter.ts,TBD,yes,TBD,no,TBD,yes,TBD,3 refs across 2 files
cat-marketing-intake,cat marketing intake,field/onboarding,shared,shared,dsh/frontend/shared/catalog.ts,dsh/frontend/shared/catalog.ts,TBD,no,TBD,no,TBD,TBD,TBD,1 refs across 1 files
cat-partner-intake,cat partner intake,field/onboarding,shared,shared,dsh/frontend/shared/catalog.ts,dsh/frontend/shared/catalog.ts,TBD,no,TBD,no,TBD,TBD,TBD,1 refs across 1 files
catalog-barcode-issue,catalog barcode issue,support/communication,shared/multi,app-field|shared,dsh/frontend/app-field/screens/DshFieldStoreOnboardingScreen.tsx | dsh/frontend/shared/operations-support.preview.ts,dsh/frontend/app-field/screens/DshFieldStoreOnboardingScreen.tsx,TBD-static-refs,yes,TBD,no,TBD,yes,TBD,3 refs across 2 files
catalog-handoff,catalog handoff,catalog/inventory,control-panel,control-panel,dsh/frontend/control-panel/partners/PartnerManagementScreens.tsx,dsh/frontend/control-panel/partners/PartnerManagementScreens.tsx,TBD,no,TBD,no,TBD,yes,TBD,1 refs across 1 files
catalog_binding_issue,catalog_binding_issue,support/communication,shared,shared,dsh/frontend/shared/operations-support.preview.ts,dsh/frontend/shared/operations-support.preview.ts,TBD,no,TBD,no,TBD,yes,TBD,1 refs across 1 files
chat-captain-1,chat captain 1,support/communication,app-client,app-client,dsh/frontend/app-client/screens/OrdersTrackingScreens.tsx,dsh/frontend/app-client/screens/OrdersTrackingScreens.tsx,TBD-static-refs,no,TBD,no,TBD,yes,TBD,1 refs across 1 files
client-tracking-support,client tracking support,support/communication,shared,shared,dsh/frontend/shared/dshCrossSurfaceClosureMap.ts,dsh/frontend/shared/dshCrossSurfaceClosureMap.ts,TBD,no,TBD,no,TBD,yes,TBD,2 refs across 1 files
client_dsh_order_issue_workspace_view,client_dsh_order_issue_workspace_view,support/communication,app-client,app-client,dsh/frontend/app-client/dsh-client.screen-registry.ts,dsh/frontend/app-client/dsh-client.screen-registry.ts,TBD,no,TBD,no,TBD,yes,TBD,1 refs across 1 files
client_dsh_order_rating_view,client_dsh_order_rating_view,order/delivery,app-client,app-client,dsh/frontend/app-client/dsh-client.screen-registry.ts,dsh/frontend/app-client/dsh-client.screen-registry.ts,TBD,no,TBD,no,TBD,yes,TBD,1 refs across 1 files
client_dsh_order_smart_followup_view,client_dsh_order_smart_followup_view,order/delivery,app-client,app-client,dsh/frontend/app-client/dsh-client.screen-registry.ts,dsh/frontend/app-client/dsh-client.screen-registry.ts,TBD,no,TBD,no,TBD,yes,TBD,1 refs across 1 files
client_dsh_orders_history_view,client_dsh_orders_history_view,order/delivery,app-client,app-client,dsh/frontend/app-client/dsh-client.screen-registry.ts,dsh/frontend/app-client/dsh-client.screen-registry.ts,TBD,no,TBD,no,TBD,yes,TBD,1 refs across 1 files
client_dsh_store_details_view,client_dsh_store_details_view,other,app-client,app-client,dsh/frontend/app-client/dsh-client.screen-registry.ts,dsh/frontend/app-client/dsh-client.screen-registry.ts,TBD,no,TBD,no,TBD,TBD,TBD,1 refs across 1 files
