"Surface","ScreenName","UiNodeType","RelativePath","FileName","Extension","OperationCount","Operations","HasUiKitRef","HasLegacyPreview","Decision"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_store_get.tsx","auto_dsh_partner_store_get.tsx",".tsx","9","dsh_partner_auction_status_update; dsh_partner_delivery_zones_update; dsh_partner_hours_update; dsh_partner_items_upsert; dsh_partner_listing_status_update; dsh_partner_profile; dsh_partner_store_get; dsh_partner_store_status_update; dsh_partner_store_update","True","False","MODIFY_MAJOR"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_store_nomination.tsx","auto_dsh_partner_store_nomination.tsx",".tsx","2","dsh_partner_store_get; dsh_partner_store_nominations_post","True","False","MODIFY_MAJOR"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_store_service_modes_update.tsx","auto_dsh_partner_store_service_modes_update.tsx",".tsx","2","dsh_partner_store_get; dsh_partner_store_service_modes_update","True","False","MODIFY_MAJOR"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_store_status_update.tsx","auto_dsh_partner_store_status_update.tsx",".tsx","3","dsh_partner_store_get; dsh_partner_store_status; dsh_partner_store_status_update","True","False","MODIFY_MAJOR"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_store_update.tsx","auto_dsh_partner_store_update.tsx",".tsx","3","dsh_partner_profile; dsh_partner_store_get; dsh_partner_store_update","True","False","MODIFY_MAJOR"
"app-partner","StyleSheet","screen","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_subscription.tsx","auto_dsh_partner_subscription.tsx",".tsx","2","dsh_partner_subscription; dsh_partner_subscription_get","True","False","KEEP_REBUILD_CLEAN"
"app-partner","StyleSheet","component","packages\surfaces\src\dsh\app-partner\mobile\auto_dsh_partner_zone_set.tsx","auto_dsh_partner_zone_set.tsx",".tsx","2","dsh_partner_store_get; dsh_zone_set","True","False","MODIFY_MAJOR"
"unknown","banner-carousel.runtime","component","packages\surfaces\src\dsh\app-client\mobile\banner-carousel.runtime.json","banner-carousel.runtime.json",".json","0","","False","False","REFERENCE_ONLY"
"unknown","captainEarningsHistory","component","packages\surfaces\src\dsh\fixtures\captainEarningsHistory.ts","captainEarningsHistory.ts",".ts","4","dsh_bonus_daily; dsh_bonus_performance; dsh_delivery_restaurant; dsh_penalty_delay","False","False","MODIFY_MAJOR"
"unknown","captainFinancialReports","component","packages\surfaces\src\dsh\fixtures\captainFinancialReports.ts","captainFinancialReports.ts",".ts","0","","False","False","REFERENCE_ONLY"
"unknown","captainOrderDetails","component","packages\surfaces\src\dsh\fixtures\captainOrderDetails.ts","captainOrderDetails.ts",".ts","0","","False","False","REFERENCE_ONLY"
"unknown","captainOrders","component","packages\surfaces\src\dsh\fixtures\captainOrders.ts","captainOrders.ts",".ts","1","dsh_order_001","False","False","MODIFY_MAJOR"
"unknown","captainPayments","component","packages\surfaces\src\dsh\fixtures\captainPayments.ts","captainPayments.ts",".ts","3","dsh_bonus_performance_january; dsh_penalty_delay; dsh_withdrawal_bank_named","False","False","MODIFY_MAJOR"
"unknown","captainSettlements","component","packages\surfaces\src\dsh\fixtures\captainSettlements.ts","captainSettlements.ts",".ts","0","","False","False","REFERENCE_ONLY"
"unknown","captainTierInfo","component","packages\surfaces\src\dsh\fixtures\captainTierInfo.ts","captainTierInfo.ts",".ts","1","dsh_captain_tier_info","False","False","MODIFY_MAJOR"
"unknown","captainWallet","component","packages\surfaces\src\dsh\fixtures\captainWallet.ts","captainWallet.ts",".ts","5","dsh_bonus_performance; dsh_delivery_restaurant; dsh_trip_jeddah; dsh_trip_riyadh; dsh_withdrawal_to_bank","False","False","MODIFY_MAJOR"
"unknown","categoryGet","component","packages\surfaces\src\dsh\fixtures\categoryGet.ts","categoryGet.ts",".ts","0","","False","False","REFERENCE_ONLY"
"unknown","chatSend","component","packages\surfaces\src\dsh\fixtures\chatSend.ts","chatSend.ts",".ts","0","","False","False","REFERENCE_ONLY"
"unknown","checkoutConstants","component","packages\surfaces\src\dsh\checkoutConstants.ts","checkoutConstants.ts",".ts","1","dsh_partner_agreement_and_checkout_spec","False","False","MODIFY_MAJOR"
"unknown","checkoutGate","component","packages\surfaces\src\dsh\fixtures\checkoutGate.ts","checkoutGate.ts",".ts","0","","False","False","REFERENCE_ONLY"
"unknown","deliveryModes","component","packages\surfaces\src\dsh\deliveryModes.ts","deliveryModes.ts",".ts","6","dsh_delivery_mode_filter_keys; dsh_delivery_mode_ids; dsh_delivery_mode_var_keys; dsh_filter_key_to_mode_id; dsh_partner_agreement_and_checkout_spec; dsh_service_architecture_ecosystem","False","False","MODIFY_MAJOR"
"unknown","dshCategoriesSeed","component","packages\surfaces\src\dsh\dshCategoriesSeed.ts","dshCategoriesSeed.ts",".ts","4","dsh_catalog_and_mock_unified; dsh_category_icons; dsh_dsh_catalog_and_mock_unified; dsh_experimental_categories_reference","False","False","MODIFY_MAJOR"
"unknown","dshHomeApi","component","packages\surfaces\src\dsh\data\dshHomeApi.ts","dshHomeApi.ts",".ts","2","dsh_home; dsh_home_fetch_failed_","False","False","MODIFY_MAJOR"
"unknown","dshHomeRepository","component","packages\surfaces\src\dsh\data\dshHomeRepository.ts","dshHomeRepository.ts",".ts","0","","False","False","REFERENCE_ONLY"
"unknown","dshHomeSeed","component","packages\surfaces\src\dsh\data\dshHomeSeed.ts","dshHomeSeed.ts",".ts","0","","False","False","REFERENCE_ONLY"
"unknown","dshHomeTypes","component","packages\surfaces\src\dsh\data\dshHomeTypes.ts","dshHomeTypes.ts",".ts","0","","False","False","REFERENCE_ONLY"
"unknown","DshOrdersCreateScreen","screen","packages\surfaces\src\dsh\mobile\dsh\DshOrdersCreateScreen.tsx","DshOrdersCreateScreen.tsx",".tsx","1","dsh_orders_create","True","False","KEEP_REBUILD_CLEAN"
"unknown","DshPartnerOrderAcceptAltScreen","screen","packages\surfaces\src\dsh\mobile\dsh\DshPartnerOrderAcceptAltScreen.tsx","DshPartnerOrderAcceptAltScreen.tsx",".tsx","0","","True","False","REVIEW_ORPHAN_SCREEN"
"unknown","DshPartnerOrderChatMessageCreateScreen","screen","packages\surfaces\src\dsh\mobile\dsh\DshPartnerOrderChatMessageCreateScreen.tsx","DshPartnerOrderChatMessageCreateScreen.tsx",".tsx","2","dsh_partner_order_chat_message_create; dsh_partner_order_chat_message_create_","True","False","KEEP_REBUILD_CLEAN"
"unknown","DshPartnerOrderChatMessagesListScreen","screen","packages\surfaces\src\dsh\mobile\dsh\DshPartnerOrderChatMessagesListScreen.tsx","DshPartnerOrderChatMessagesListScreen.tsx",".tsx","1","dsh_partner_order_chat_messages_list_","True","False","KEEP_REBUILD_CLEAN"
"unknown","DshPartnerOrderChatReadAckScreen","screen","packages\surfaces\src\dsh\mobile\dsh\DshPartnerOrderChatReadAckScreen.tsx","DshPartnerOrderChatReadAckScreen.tsx",".tsx","2","dsh_partner_order_chat_read_ack; dsh_partner_order_chat_read_ack_","True","False","KEEP_REBUILD_CLEAN"
"unknown","expo-location.d","component","packages\surfaces\src\dsh\expo-location.d.ts","expo-location.d.ts",".ts","0","","False","False","REFERENCE_ONLY"
"unknown","favoritesList","screen","packages\surfaces\src\dsh\fixtures\favoritesList.ts","favoritesList.ts",".ts","0","","False","False","REVIEW_ORPHAN_SCREEN"
"unknown","gasRefill","component","packages\surfaces\src\dsh\fixtures\gasRefill.ts","gasRefill.ts",".ts","0","","False","False","REFERENCE_ONLY"
"unknown","getDshCategoryIconUrl","component","packages\surfaces\src\dsh\getDshCategoryIconUrl.ts","getDshCategoryIconUrl.ts",".ts","1","dsh_category_icons_path","False","False","MODIFY_MAJOR"
"unknown","home","screen","packages\surfaces\src\dsh\fixtures\home.ts","home.ts",".ts","1","dsh_category_icons","False","False","MODIFY_MAJOR_UIKIT_ADOPTION"
"unknown","index","component","packages\surfaces\src\dsh\app-client\mobile\index.ts","index.ts",".ts","0","","False","False","REFERENCE_ONLY"
"unknown","index","component","packages\surfaces\src\dsh\hooks\index.ts","index.ts",".ts","1","dsh_home","False","False","MODIFY_MAJOR"
"unknown","index","component","packages\surfaces\src\dsh\index.ts","index.ts",".ts","2","dsh_delivery_modes_reference; dsh_partner_agreement_and_checkout_spec","False","False","MODIFY_MAJOR"
"unknown","index","component","packages\surfaces\src\dsh\mobile\index.ts","index.ts",".ts","0","","False","False","REFERENCE_ONLY"
"unknown","loadExpoLocation","component","packages\surfaces\src\dsh\loadExpoLocation.ts","loadExpoLocation.ts",".ts","0","","False","False","REFERENCE_ONLY"
"unknown","orderCancel","component","packages\surfaces\src\dsh\fixtures\orderCancel.ts","orderCancel.ts",".ts","0","","False","False","REFERENCE_ONLY"
"unknown","orderGet","component","packages\surfaces\src\dsh\fixtures\orderGet.ts","orderGet.ts",".ts","0","","False","False","REFERENCE_ONLY"
