"Operation","Source","Files","Surfaces"
"auto_dsh_field_store_activation_request","surfaces","1","app-field"
"auto_dsh_field_store_geo_pin","surfaces","1","app-field"
"auto_dsh_field_store_visit_log","surfaces","1","app-field"
"auto_dsh_gas_refill_order_create","surfaces","1","unknown"
"auto_dsh_home_get","surfaces","1","unknown"
"auto_dsh_listing_status_update","surfaces","1","unknown"
"auto_dsh_loyalty_points_redeem","surfaces","1","unknown"
"auto_dsh_loyalty_points_user_balance","surfaces","1","unknown"
"auto_dsh_loyalty_points_user_history","surfaces","1","unknown"
"auto_dsh_order_accept","surfaces","1","unknown"
"auto_dsh_order_cancel","surfaces","1","unknown"
"auto_dsh_order_complete","surfaces","1","unknown"
"auto_dsh_order_create","surfaces","1","unknown"
"auto_dsh_order_escrow_hold","surfaces","1","unknown"
"auto_dsh_order_escrow_release","surfaces","1","unknown"
"auto_dsh_order_get","surfaces","1","unknown"
"auto_dsh_order_issue_flag","surfaces","1","unknown"
"auto_dsh_order_proof_code_generate","surfaces","1","unknown"
"auto_dsh_order_proof_verify","surfaces","1","unknown"
"auto_dsh_order_rate","surfaces","1","unknown"
"auto_dsh_order_receipt_get","surfaces","1","unknown"
"auto_dsh_order_status_get","surfaces","1","unknown"
"auto_dsh_order_status_update","surfaces","1","unknown"
"auto_dsh_orders_list","surfaces","1","unknown"
"auto_dsh_partner_auction_status_update","surfaces","1","app-partner"
"auto_dsh_partner_audience_insights_get","surfaces","1","app-partner"
"auto_dsh_partner_chat_read_ack","surfaces","1","app-partner"
"auto_dsh_partner_chat_send","surfaces","1","app-partner"
"auto_dsh_partner_commission_by_mode_get","surfaces","1","app-partner"
"auto_dsh_partner_delivery_ops_board","surfaces","1","app-partner"
"auto_dsh_partner_delivery_zones_update","surfaces","1","app-partner"
"auto_dsh_partner_doc_upload","surfaces","1","app-partner"
"auto_dsh_partner_hours_update","surfaces","1","app-partner"
"auto_dsh_partner_identity_submit","surfaces","1","app-partner"
"auto_dsh_partner_intake_start","surfaces","1","app-partner"
"auto_dsh_partner_inventory_adjust","surfaces","1","app-partner"
"auto_dsh_partner_inventory_update","surfaces","1","app-partner"
"auto_dsh_partner_items_upsert","surfaces","1","app-partner"
"auto_dsh_partner_listing_status_update","surfaces","1","app-partner"
"auto_dsh_partner_manager_invite","surfaces","1","app-partner"
"auto_dsh_partner_order_accept","surfaces","1","app-partner"
"auto_dsh_partner_order_get","surfaces","1","app-partner"
"auto_dsh_partner_order_handoff","surfaces","1","app-partner"
"auto_dsh_partner_order_issue_queue","surfaces","1","app-partner"
"auto_dsh_partner_order_out_for_delivery","surfaces","1","app-partner"
"auto_dsh_partner_order_prepare","surfaces","1","app-partner"
"auto_dsh_partner_order_ready","surfaces","1","app-partner"
"auto_dsh_partner_order_reject","surfaces","1","app-partner"
"auto_dsh_partner_order_store_delivered","surfaces","1","app-partner"
"auto_dsh_partner_orders_list","surfaces","1","app-partner"
"auto_dsh_partner_profile_get","surfaces","1","app-partner"
"auto_dsh_partner_quick_reply_config_get","surfaces","1","app-partner"
"auto_dsh_partner_quick_reply_settings","surfaces","1","app-partner"
"auto_dsh_partner_quick_reply_setup","surfaces","1","app-partner"
"auto_dsh_partner_staff_analytics_get","surfaces","1","app-partner"
"auto_dsh_partner_store_get","surfaces","1","app-partner"
"auto_dsh_partner_store_nomination","surfaces","1","app-partner"
"auto_dsh_partner_store_service_modes_update","surfaces","1","app-partner"
"auto_dsh_partner_store_status_update","surfaces","1","app-partner"
"auto_dsh_partner_store_update","surfaces","1","app-partner"
"auto_dsh_partner_subscription","surfaces","1","app-partner"
"auto_dsh_partner_zone_set","surfaces","1","app-partner"
"auto_dsh_pricing_preview","surfaces","1","unknown"
"auto_dsh_pricing_snapshot_get","surfaces","1","unknown"
"auto_dsh_promo_apply","surfaces","1","unknown"
"auto_dsh_proxy_request_approve","surfaces","1","unknown"
"auto_dsh_proxy_request_review","surfaces","1","unknown"
"auto_dsh_proxy_request_tracking","surfaces","1","unknown"
"auto_dsh_review_create","surfaces","1","unknown"
"auto_dsh_reviews_list","surfaces","1","unknown"
"auto_dsh_search","surfaces","1","unknown"
"auto_dsh_service_modes_resolve","surfaces","1","unknown"
"auto_dsh_shein_info","surfaces","1","unknown"
"auto_dsh_store_get","surfaces","1","unknown"
"auto_dsh_store_items_list","surfaces","1","unknown"
"auto_dsh_stores_list","surfaces","1","unknown"
"auto_dsh_subscription_family_get","surfaces","1","unknown"
"auto_dsh_subscription_family_members_get","surfaces","1","unknown"
"auto_dsh_subscription_family_members_post","surfaces","1","unknown"
"auto_dsh_subscription_pro_catalog","surfaces","1","unknown"
"auto_dsh_subscription_sync","surfaces","1","unknown"
