"operation_id","canonical_name","actors","surfaces","classification","trigger","state_effect","source_trace"
"dsh_cart_get","dsh_cart_get","ops","app-client","dsh_general:read","query_or_screen_load","read_only","services/dsh/governance/operations/dsh_cart_get/OP_SPEC.yaml"
"dsh_cart_init","dsh_cart_init","ops","app-client","dsh_general:mutation","primary_cta_or_workflow_step","state_mutation","services/dsh/governance/operations/dsh_cart_init/OP_SPEC.yaml"
"dsh_cart_item_add","dsh_cart_item_add","ops","app-client","dsh_general:mutation","primary_cta_or_workflow_step","state_mutation","services/dsh/governance/operations/dsh_cart_item_add/OP_SPEC.yaml"
"dsh_cart_item_remove","dsh_cart_item_remove","ops","app-client","dsh_general:mutation","primary_cta_or_workflow_step","state_mutation","services/dsh/governance/operations/dsh_cart_item_remove/OP_SPEC.yaml"
"dsh_cart_item_update","dsh_cart_item_update","ops","app-client","dsh_general:mutation","primary_cta_or_workflow_step","state_mutation","services/dsh/governance/operations/dsh_cart_item_update/OP_SPEC.yaml"
"dsh_chat_read_ack","dsh_chat_read_ack","ops","app-client","dsh_general:mutation","primary_cta_or_workflow_step","state_mutation","services/dsh/governance/operations/dsh_chat_read_ack/OP_SPEC.yaml"
"dsh_chat_send","dsh_chat_send","ops","app-client","dsh_general:mutation","primary_cta_or_workflow_step","state_mutation","services/dsh/governance/operations/dsh_chat_send/OP_SPEC.yaml"
"dsh_checkout_gate","dsh_checkout_gate","ops","app-client","dsh_general:mutation","primary_cta_or_workflow_step","state_mutation","services/dsh/governance/operations/dsh_checkout_gate/OP_SPEC.yaml"
"dsh_delivery_attempt_create","dsh_delivery_attempt_create","ops","app-client","dsh_general:mutation","primary_cta_or_workflow_step","state_mutation","services/dsh/governance/operations/dsh_delivery_attempt_create/OP_SPEC.yaml"
"dsh_delivery_eta_get","dsh_delivery_eta_get","ops","app-client","dsh_general:read","query_or_screen_load","read_only","services/dsh/governance/operations/dsh_delivery_eta_get/OP_SPEC.yaml"
"dsh_delivery_position_update","dsh_delivery_position_update","captain","app-captain","dsh_general:mutation","primary_cta_or_workflow_step","state_mutation","services/dsh/governance/operations/dsh_delivery_position_update/OP_SPEC.yaml"
"dsh_delivery_reassign_request","dsh_delivery_reassign_request","ops","control-panel","dsh_general:mutation","primary_cta_or_workflow_step","state_mutation","services/dsh/governance/operations/dsh_delivery_reassign_request/OP_SPEC.yaml"
"dsh_delivery_track_get","dsh_delivery_track_get","ops","app-client","dsh_general:read","query_or_screen_load","read_only","services/dsh/governance/operations/dsh_delivery_track_get/OP_SPEC.yaml"
"dsh_entitlements_get","dsh_entitlements_get","ops","app-client","dsh_general:read","query_or_screen_load","read_only","services/dsh/governance/operations/dsh_entitlements_get/OP_SPEC.yaml"
"dsh_estimate_create","dsh_estimate_create","ops","app-client","dsh_general:mutation","primary_cta_or_workflow_step","state_mutation","services/dsh/governance/operations/dsh_estimate_create/OP_SPEC.yaml"
"dsh_estimate_get","dsh_estimate_get","ops","app-client","dsh_general:read","query_or_screen_load","read_only","services/dsh/governance/operations/dsh_estimate_get/OP_SPEC.yaml"
"dsh_external_order_create","dsh_external_order_create","user","app-client","shein_proxy:mutation","primary_cta_or_workflow_step","state_mutation","services/dsh/governance/operations/dsh_external_order_create/OP_SPEC.yaml"
"dsh_field_store_activation_request","dsh_field_store_activation_request","ops","app-field","dsh_general:mutation","primary_cta_or_workflow_step","state_mutation","services/dsh/governance/operations/dsh_field_store_activation_request/OP_SPEC.yaml"
"dsh_field_store_geo_pin","dsh_field_store_geo_pin","ops","app-field","dsh_general:mutation","primary_cta_or_workflow_step","state_mutation","services/dsh/governance/operations/dsh_field_store_geo_pin/OP_SPEC.yaml"
"dsh_field_store_visit_log","dsh_field_store_visit_log","ops","app-field","dsh_general:mutation","primary_cta_or_workflow_step","state_mutation","services/dsh/governance/operations/dsh_field_store_visit_log/OP_SPEC.yaml"
"dsh_generate_analytics_report","dsh_generate_analytics_report","admin","control-panel","core:mutation","primary_cta_or_workflow_step","state_mutation","services/dsh/governance/service-level/DSH_OPERATION_CATALOG.csv"
"dsh_get_dashboard_metrics","dsh_get_dashboard_metrics","user","app-client","core:read","query_or_screen_load","read_only","services/dsh/governance/service-level/DSH_OPERATION_CATALOG.csv"
"dsh_listing_status_update","dsh_listing_status_update","ops","app-partner","dsh_general:mutation","primary_cta_or_workflow_step","state_mutation","services/dsh/governance/operations/dsh_listing_status_update/OP_SPEC.yaml"
"dsh_loyalty_points_redeem","dsh_loyalty_points_redeem","ops","app-client","dsh_general:mutation","primary_cta_or_workflow_step","state_mutation","services/dsh/governance/operations/dsh_loyalty_points_redeem/OP_SPEC.yaml"
"dsh_loyalty_points_user_balance","dsh_loyalty_points_user_balance","ops","app-client","dsh_general:read","query_or_screen_load","read_only","services/dsh/governance/operations/dsh_loyalty_points_user_balance/OP_SPEC.yaml"
"dsh_loyalty_points_user_history","dsh_loyalty_points_user_history","ops","app-client","dsh_general:read","query_or_screen_load","read_only","services/dsh/governance/operations/dsh_loyalty_points_user_history/OP_SPEC.yaml"
"dsh_order_accept","dsh_order_accept","ops","app-client","dsh_general:mutation","primary_cta_or_workflow_step","state_mutation","services/dsh/governance/operations/dsh_order_accept/OP_SPEC.yaml"
"dsh_order_complete","dsh_order_complete","ops","app-client","dsh_general:mutation","primary_cta_or_workflow_step","state_mutation","services/dsh/governance/operations/dsh_order_complete/OP_SPEC.yaml"
