"Operation","Surface","ScreenName","UiNodeType","RelativePath","Decision"
"dsh_smart_notifications_captain_near_spec","app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_dsh_captain_order_get.tsx","KEEP_REBUILD_CLEAN"
"dsh_smart_notifications_captain_near_spec","app-captain","useDshCaptainDeliveryPositionPing","component","packages\surfaces\src\dsh\app-captain\hooks\useDshCaptainDeliveryPositionPing.ts","MODIFY_MAJOR"
"dsh_status_completed","app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_payments.tsx","KEEP_REBUILD_CLEAN"
"dsh_status_completed","app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_settlements.tsx","KEEP_REBUILD_CLEAN"
"dsh_status_failed","app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_payments.tsx","KEEP_REBUILD_CLEAN"
"dsh_status_pending","app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_settlements.tsx","KEEP_REBUILD_CLEAN"
"dsh_status_pending","app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_payments.tsx","KEEP_REBUILD_CLEAN"
"dsh_status_processing","app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_settlements.tsx","KEEP_REBUILD_CLEAN"
"dsh_status_rejected","app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_settlements.tsx","KEEP_REBUILD_CLEAN"
"dsh_status_unspecified","app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_settlements.tsx","KEEP_REBUILD_CLEAN"
"dsh_status_unspecified","app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_payments.tsx","KEEP_REBUILD_CLEAN"
"dsh_store","unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_store_items_list.tsx","KEEP_REBUILD_CLEAN"
"dsh_store_","unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_home_get.tsx","KEEP_REBUILD_CLEAN"
"dsh_store_items_list","unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_store_items_list.tsx","KEEP_REBUILD_CLEAN"
"dsh_store_items_list","unknown","types","component","packages\surfaces\src\dsh\types.ts","MODIFY_MAJOR"
"dsh_store_products","unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_store_items_list.tsx","KEEP_REBUILD_CLEAN"
"dsh_stores","unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_service_modes_resolve.tsx","KEEP_REBUILD_CLEAN"
"dsh_stores_list","unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_stores_list.tsx","KEEP_REBUILD_CLEAN"
"dsh_subscription_categories_get","unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_subscription_pro_catalog.tsx","KEEP_REBUILD_CLEAN"
"dsh_subscription_family_get","unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_subscription_family_get.tsx","KEEP_REBUILD_CLEAN"
"dsh_subscription_family_members_get","unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_subscription_family_members_get.tsx","KEEP_REBUILD_CLEAN"
"dsh_subscription_family_members_post","unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_subscription_family_members_post.tsx","KEEP_REBUILD_CLEAN"
"dsh_subscription_sync","unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_subscription_sync.tsx","KEEP_REBUILD_CLEAN"
"dsh_subscription_tier_get","unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_subscription_tier_get.tsx","KEEP_REBUILD_CLEAN"
"dsh_subscription_upgrade_post","unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_subscription_upgrade_post.tsx","KEEP_REBUILD_CLEAN"
"dsh_subscriptions","unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_subscription_tier_get.tsx","KEEP_REBUILD_CLEAN"
"dsh_subscriptions_bundles","unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_subscription_pro_catalog.tsx","KEEP_REBUILD_CLEAN"
"dsh_subscriptions_categories","unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_subscription_pro_catalog.tsx","KEEP_REBUILD_CLEAN"
"dsh_subscriptions_family","unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_subscription_family_get.tsx","KEEP_REBUILD_CLEAN"
"dsh_subscriptions_family","unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_subscription_family_members_get.tsx","KEEP_REBUILD_CLEAN"
"dsh_subscriptions_family","unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_subscription_family_members_post.tsx","KEEP_REBUILD_CLEAN"
"dsh_subscriptions_sync","unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_subscription_sync.tsx","KEEP_REBUILD_CLEAN"
"dsh_subscriptions_upgrade","unknown","StyleSheet","screen","packages\surfaces\src\dsh\app-client\mobile\auto_dsh_subscription_upgrade_post.tsx","KEEP_REBUILD_CLEAN"
"dsh_success_title","app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_settlements.tsx","KEEP_REBUILD_CLEAN"
"dsh_trip_jeddah","unknown","captainWallet","component","packages\surfaces\src\dsh\fixtures\captainWallet.ts","MODIFY_MAJOR"
"dsh_trip_riyadh","unknown","captainWallet","component","packages\surfaces\src\dsh\fixtures\captainWallet.ts","MODIFY_MAJOR"
"dsh_wallet_empty","app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_wallet.tsx","KEEP_REBUILD_CLEAN"
"dsh_wallet_loading","app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_payments.tsx","KEEP_REBUILD_CLEAN"
"dsh_wallet_loading","app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_wallet.tsx","KEEP_REBUILD_CLEAN"
"dsh_wallet_subtitle","app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_wallet.tsx","KEEP_REBUILD_CLEAN"
"dsh_withdrawal_amount_label","app-captain","StyleSheet","screen","packages\surfaces\src\dsh\app-captain\mobile\auto_captain_settlements.tsx","KEEP_REBUILD_CLEAN"
"dsh_withdrawal_bank_named","unknown","captainPayments","component","packages\surfaces\src\dsh\fixtures\captainPayments.ts","MODIFY_MAJOR"
